site_name,site_address,site_city,site_state,site_zip,latitude,longitude,site_type
DHS Family Community Resource Center in Adams County,"300 Maine St, 2nd floor",Quincy,IL,62301,39.931731,-91.411405,FCRC
DHS Family Community Resource Center in Bureau County,225 Backbone Rd E #2,Princeton,IL,61356,41.393544,-89.467653,FCRC
DHS Family Community Resource Center in Cass County,300 East 2nd Street,Beardstown,IL,62618,40.018025,-90.432441,FCRC
DHS Family Community Resource Center in Champaign County,705 N Country Fair Dr,Champaign,IL,61821,40.124008,-88.28222,FCRC
DHS Family Community Resource Center in Christian County,1100 N Cheney St,Taylorville,IL,62568,39.560121,-89.306787,FCRC
DHS Family Community Resource Center in Cook County - Calumet Park,831 W 119th St,Chicago,IL,60643,41.677133,-87.64312,FCRC
DHS Family Community Resource Center in Cook County - Englewood,5323 S Western Ave,Chicago,IL,60609,41.797002,-87.683966,FCRC
DHS Family Community Resource Center in Cook County - Humboldt Park,2753 West North Avenue,Chicago,IL,60647,41.909997,-87.69665,FCRC
DHS Family Community Resource Center in Cook County - Lower North,2650 West Fulton Street,Chicago,IL,60612,41.88672,-87.692989,FCRC
DHS Family Community Resource Center in Cook County - Mid South,"1642 W 59th St, 2nd Floor",Chicago,IL,60636,41.787045,-87.666164,FCRC
DHS Family Community Resource Center in Cook County - North Suburban,3501 W Algonquin Rd - 4th Floor,Rolling Meadows,IL,60008,42.061488,-88.023279,FCRC
DHS Family Community Resource Center in Cook County - Northern,8001 Lincoln Ave - 4th Floor,Skokie,IL,60077,42.026604,-87.753425,FCRC
DHS Family Community Resource Center in Cook County - Northside,"6200 N Hiawatha Ave, 5th Floor",Chicago,IL,60646,41.993427,-87.749948,FCRC
DHS Family Community Resource Center in Cook County - Northwest,4105 West Chicago Avenue,Chicago,IL,60651,41.894579,-87.72908,FCRC
DHS Family Community Resource Center in Cook County - Ogden,3920 West Ogden Avenue,Chicago,IL,60623,41.852138,-87.722999,FCRC
DHS Family Community Resource Center in Cook County - Roseland,11203 S Ellis Ave,Chicago,IL,60628,41.690621,-87.604325,FCRC
DHS Family Community Resource Center in Cook County - South Loop,1112 South Wabash Avenue,Chicago,IL,60605,41.868794,-87.626356,FCRC
DHS Family Community Resource Center in Cook County - South Suburban,3301 Wireton Rd,Blue Island,IL,60406,41.66067,-87.701723,FCRC
DHS Family Community Resource Center in Cook County - Southeast,8001 S Cottage Grove Ave,Chicago,IL,60619,41.749325,-87.604776,FCRC
DHS Family Community Resource Center in Cook County - Stroger - Temporarily Closed,"1701 S. First Avenue, Suite 100 & 200",Maywood,IL,60153,41.87214,-87.832694,FCRC
DHS Family Community Resource Center in Cook County - West Suburban,2701 West Lake Street,Melrose Park,IL,60160,41.895797,-87.866853,FCRC
DHS Family Community Resource Center in Cook County - Woodlawn - Temporarily Closed,915 E 63rd St,Chicago,IL,60637,41.780227,-87.602524,FCRC
DHS Family Community Resource Center in Crawford County,1110 North Allen Street,Robinson,IL,62454,39.014394,-87.748832,FCRC
DHS Family Community Resource Center in DeKalb County,1629 Afton Road,Sycamore,IL,60178,41.97119,-88.702453,FCRC
DHS Family Community Resource Center in DuPage County,"1717 Park St, Suite 105",Naperville,IL,60563,41.798577,-88.149551,FCRC
DHS Family Community Resource Center in Franklin County,1602 North Main Street,Benton,IL,62812,38.01492,-88.920589,FCRC
DHS Family Community Resource Center in Fulton County,1329 North Main Street,Lewistown,IL,61542,40.405546,-90.155043,FCRC
DHS Family Community Resource Center in Henry County,150 West South Street,Kewanee,IL,61443,41.222631,-89.92841,FCRC
DHS Family Community Resource Center in Jackson County,342 North St,Murphysboro,IL,62966,37.765427,-89.327237,FCRC
DHS Family Community Resource Center in Jefferson County,"333 Potomac Boulevard, Suite F",Mount Vernon,IL,62864,38.31834,-88.955953,FCRC
DHS Family Community Resource Center in Jersey County,110 North Jefferson Street,Jerseyville,IL,62052,39.119845,-90.326564,FCRC
DHS Family Community Resource Center in Kane County/Aurora,361 W Old Indian Trail,Aurora,IL,60506,41.780812,-88.320382,FCRC
DHS Family Community Resource Center in Kane County/Elgin,700 S State St,Elgin,IL,60123,42.018317,-88.289582,FCRC
DHS Family Community Resource Center in Kankakee County,285 N Schuyler Ave,Kankakee,IL,60901,41.122781,-87.863706,FCRC
DHS Family Community Resource Center in Knox County,"477 East Main Street, Suite 100",Galesburg,IL,61401,40.947582,-90.363203,FCRC
DHS Family Community Resource Center in Lake County,2000 N Lewis Ave,Waukegan,IL,60087,42.388184,-87.855855,FCRC
DHS Family Community Resource Center in LaSalle County,1560 First Avenue,Ottawa,IL,61350,41.323522,-88.836788,FCRC
DHS Family Community Resource Center in Logan County,1550 4th Street,Lincoln,IL,62656,40.146198,-89.3856,FCRC
DHS Family Community Resource Center in Macon County,707 E Wood St,Decatur,IL,62523,39.839992,-88.947105,FCRC
DHS Family Community Resource Center in Macoupin County,340 E. Wilson,Carlinville,IL,62626,39.293485,-89.877147,FCRC
DHS Family Community Resource Center in Madison County/East Alton,608 W St Louis Ave,East Alton,IL,62024,38.88033,-90.11122,FCRC
DHS Family Community Resource Center in Madison County/Granite City,1925 Madison Avenue,Granite City,IL,62040,38.698767,-90.147946,FCRC
DHS Family Community Resource Center in Marion County,800 S Locust St,Centralia,IL,62801,38.517998,-89.137141,FCRC
DHS Family Community Resource Center in Mason County,323 West Main Street,Havana,IL,62644,40.299942,-90.064882,FCRC
DHS Family Community Resource Center in Massac County,2301 Metropolis Street,Metropolis,IL,62960,37.169532,-88.725072,FCRC
DHS Family Community Resource Center in McDonough County,"640 Sherman Dr, Suite 309, 3rd Floor/Seal Hall",Macomb,IL,61455,40.465693,-90.684515,FCRC
DHS Family Community Resource Center in McHenry County,512 Clay Street,Woodstock,IL,60098,42.319254,-88.446485,FCRC
DHS Family Community Resource Center in McLean County,501 West Washington Street,Bloomington,IL,61701,40.480103,-88.997831,FCRC
DHS Family Community Resource Center in Mid-Illinois,1550 Douglas St,Charleston,IL,61920,39.484718,-88.196051,FCRC
DHS Family Community Resource Center in Montgomery County,210 E Fairground Ave,Hillsboro,IL,62049,39.151433,-89.494275,FCRC
DHS Family Community Resource Center in Morgan County,45 S Central Park Plaza,Jacksonville,IL,62650,39.733396,-90.228686,FCRC
DHS Family Community Resource Center in Ogle County,1001 Pines Rd,Oregon,IL,61061,42.004462,-89.342279,FCRC
DHS Family Community Resource Center in Peoria County,"211 Fulton Street, Suite 300",Peoria,IL,61602,40.689984,-89.590525,FCRC
DHS Family Community Resource Center in Pulaski County,422 S Blanche St,Mounds,IL,62964,37.107921,-89.198402,FCRC
DHS Family Community Resource Center in Randolph County,870 Lehmen Drive,Chester,IL,62233,37.922091,-89.834592,FCRC
DHS Family Community Resource Center in Richland County,1406 Martin St,Olney,IL,62450,38.713683,-88.089963,FCRC
DHS Family Community Resource Center in Rock Island County,"500 42nd St, 2nd Floor",Rock Island,IL,61201,41.507251,-90.542722,FCRC
DHS Family Community Resource Center in Saline County,320 Raymond Street,Harrisburg,IL,62946,37.733268,-88.536471,FCRC
DHS Family Community Resource Center in Sangamon County,"600 E Ash St, Building 500, 1st Floor",Springfield,IL,62703,39.779074,-89.648466,FCRC
DHS Family Community Resource Center in St Clair/East St Louis,225 N 9th St,East St Louis,IL,62201,38.623618,-90.155035,FCRC
DHS Family Community Resource Center in Stephenson County,1840 S West Ave,Freeport,IL,61032,42.279671,-89.63176,FCRC
DHS Family Community Resource Center in Tazewell County,"200 South 2nd Street, Suite 20",Pekin,IL,61554,40.568104,-89.653319,FCRC
DHS Family Community Resource Center in Union County,1000 North Main Street,Anna,IL,62906,37.475863,-89.244874,FCRC
DHS Family Community Resource Center in Vermilion County,220 South Bowman Avenue,Danville,IL,61832,40.123578,-87.611824,FCRC
DHS Family Community Resource Center in Wabash County,"2517 West 9th Street, Suite A",Mount Carmel,IL,62863,38.412134,-87.775268,FCRC
DHS Family Community Resource Center in Warren County,1245 South Main Street,Monmouth,IL,61462,40.897552,-90.648185,FCRC
DHS Family Community Resource Center in Whiteside County,2605 Woodlawn Road,Sterling,IL,61081,41.800655,-89.665413,FCRC
DHS Family Community Resource Center in Will County,45 E Webster St,Joliet,IL,60432,41.528928,-88.080679,FCRC
DHS Family Community Resource Center in Williamson County,"1107 West Deyoung Street, Suite 20",Marion,IL,62959,37.740588,-88.937609,FCRC
DHS Family Community Resource Center in Winnebago County,"171 Executive Pkwy, Suite 101",Rockford,IL,61107,42.270137,-88.999186,FCRC
DHS Medical Field Operations Central - Temporarily Closed,1642 W 59th St,Chicago,IL,60636,41.787045,-87.666164,FCRC
DHS Medical Field Operations Downstate - Temporarily Closed,707 E Wood St,Decatur,IL,62523,39.839992,-88.947105,FCRC
DHS Medical Field Operations North - Temporarily Closed,"1112 S Wabash Ave, 4th Floor",Chicago,IL,60605,41.868794,-87.626356,FCRC
DHS Medical Management Unit - Temporarily Closed,527 S Wells St,Chicago,IL,60607,41.875208,-87.633334,FCRC
MID LAKES MEDICAL AND DENTAL BUILDING,224 W Clarendon Dr,Round Lake Beach,IL,60073-1896,42.37096257,-88.08896132,FQHC
The Burnham at Woodlawn Park,6134 S Cottage Grove Ave,Chicago,IL,60637-2565,41.78282081,-87.60599388,FQHC
Aunt Martha&#39;s Community Health Center in Humboldt Park,1044 N Francisco Ave Ste 101,Chicago,IL,60622-2743,41.90016217,-87.69933044,FQHC
ACCESS Southwest Family Health Center,4839 W 47th St,Chicago,IL,60638-2039,41.80757248,-87.74475603,FQHC
HARDIN COUNTY MEDICAL CLINIC,IL-146,Elizabethtown,IL,62931,37.46509337,-88.29214664,FQHC
"SIHF Healthcare, 3 St. Elizabeth’s Boulevard, Suite 4000, O’Fallon, IL 62269",3 Saint Elizabeth Blvd Ste 4000,O Fallon,IL,62269-1284,38.584118,-89.93119199,FQHC
Albion Community Health Center,33 W Main St,Albion,IL,62806-1006,38.37692657,-88.05817261,FQHC
Seneca Health Center and Dental Clinic,450 Dundee Ave,Elgin,IL,60120-4205,42.04485607,-88.27742237,FQHC
ACCESS Paul and Mimi Francis Westside Family Health Center,3752 W 16th St,Chicago,IL,60623-2028,41.85895745,-87.71972197,FQHC
Gillespie Community Unit School District #7,510 W Elm St,Gillespie,IL,62033-1167,39.127742,-89.82730903,FQHC
Trilogy Heartland Healthcare Home,1400 W Greenleaf Ave,Chicago,IL,60626-2805,42.01042578,-87.66630837,FQHC
VNA Health Center - Ecker Center for Mental Health,1845 Grandstand Pl,Elgin,IL,60123-6603,42.03411869,-88.32245733,FQHC
Grand Avenue Health Center,3010 Grand Ave,Waukegan,IL,60085-2321,42.37126679,-87.87594304,FQHC
CAIRO MEGA CLINIC,13245 Kessler Rd,Cairo,IL,62914-3101,37.04074374,-89.19697676,FQHC
"Shawnee Health Care, Carterville",1006 S Division St,Carterville,IL,62918-1539,37.75055998,-89.07712517,FQHC
Howard Brown Health at TPAN,5537 N Broadway St,Chicago,IL,60640-1405,41.98282919,-87.66002178,FQHC
CHP Harvard Dental Clinic,62 N Ayer St,Harvard,IL,60033-2870,42.42139363,-88.61439114,FQHC
PCC Melrose Park Family Health Center,1111 Superior St Ste 101,Melrose Park,IL,60160-4100,41.8924916,-87.84778815,FQHC
LCHC Belle Whaley,3812 W Ogden Ave,Chicago,IL,60623-2458,41.85277642,-87.72048447,FQHC
VNA Health Center - Aurora Highland,400 N Highland Ave,Aurora,IL,60506-3814,41.76597398,-88.32909748,FQHC
ACCESS Centro Médico San Rafael,3204 W 26th St,Chicago,IL,60623-4031,41.84455,-87.70542404,FQHC
IMAN - Youth and Family Health Center,2749 W 63rd St,Chicago,IL,60629-2342,41.77910247,-87.69292402,FQHC
Hamdard-Addison,228 E Lake St,Addison,IL,60101-2889,41.93040492,-87.98293837,FQHC
Alivio's Walk In Wellness Center at Berwyn,6447 Cermak Rd Ste 100,Berwyn,IL,60402-2311,41.85059252,-87.785607,FQHC
PCC Walk-In Wellness Center at West Suburban Medical Center,3 Erie Ct Ste 1300,Oak Park,IL,60302-2519,41.89150414,-87.77623475,FQHC
Temporary Site-Howard Brown Health at Project Vida,2659 S Kedvale Ave,Chicago,IL,60623-4322,41.84249074,-87.72812441,FQHC
PULASKI CLINIC,100 Market St,Pulaski,IL,62976,37.21284196,-89.20728298,FQHC
Sunnyside Health Center,4501 N Sheridan Rd,Chicago,IL,60640-5608,41.96378501,-87.65425403,FQHC
Tomcat Health Center,500 Tomcat Ln,Aurora,IL,60505-5006,41.74506825,-88.29769803,FQHC
2001 STATE STREET CENTER,2001 State St,East Saint Louis,IL,62205-1803,38.61817803,-90.13267442,FQHC
VIENNA MEDICAL CLINIC,803 N 1st St,Vienna,IL,62995-1544,37.4232269,-88.89304838,FQHC
UNIVERSITY OF ILLINOIS - MILE SQUARE HEALTH CENTER ENGLEWOOD,641 W 63rd St,Chicago,IL,60621-2032,41.77978476,-87.64144187,FQHC
LCHC at Salvation Army Freedom Center,825 N Christiana Ave Rm 042,Chicago,IL,60651-4110,41.89705735,-87.70994507,FQHC
Chicago Family Health Center - Roseland,120 W 111th St,Chicago,IL,60628-4215,41.69255748,-87.62677496,FQHC
Howard Brown Health 55th Street,1525 E 55th St Ste 201,Chicago,IL,60615-5582,41.79512319,-87.58800701,FQHC
Temporary Site - Wood River Testing Site,230 N Old Saint Louis Rd,Wood River,IL,62095-1437,38.86536714,-90.10351118,FQHC
"UNIVERSITY OF ILLINOIS MEDICAL CENTER, MILE SQUARE HEALTH CENTER, Davis Health and Wellness Center",3050 W 39th Pl,Chicago,IL,60632-2402,41.82180651,-87.7016324,FQHC
Family Christian Health Center MCHC,15620 Wood St,Harvey,IL,60426-4171,41.60518699,-87.66080742,FQHC
VNA Health Center - Elgin Villa,801 Villa St,Elgin,IL,60120-8001,42.02793372,-88.25996094,FQHC
LCHC at Habilitative Systems,415 S Kilpatrick Ave,Chicago,IL,60644-4923,41.87458069,-87.74258126,FQHC
Outpatient Substance Abuse Program,3004 Grand Ave,Waukegan,IL,60085-2321,42.37321684,-87.87658359,FQHC
AHS Family Health Center Niles,8321 W Golf Rd,Niles,IL,60714-1113,42.05467908,-87.83396614,FQHC
COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,112 E Main St,Princeville,IL,61559-7510,40.93021391,-89.75689274,FQHC
Howard Brown Health at Thresholds South,734 W 47th St,Chicago,IL,60609-4411,41.80889926,-87.64459019,FQHC
Howard Brown Health at La Casa Norte,3533 W North Ave Ste 1,Chicago,IL,60647-7573,41.90998526,-87.71577074,FQHC
Mattoon Medical Center - SIHF,700 Broadway Ave E Ste 39,Mattoon,IL,61938-4662,39.48501034,-88.32611859,FQHC
Center for Family Health - Sycamore,165 E Plank Rd,Sycamore,IL,60178-8757,42.01545747,-88.67428998,FQHC
Quincy Housing Authority,540 Harrison St,Quincy,IL,62301-7236,39.91349978,-91.40717356,FQHC
Howard Brown Health 63rd Street,641 W 63rd St,Chicago,IL,60621-2032,41.77978476,-87.64144187,FQHC
Heartland Health Center-Sullivan,6631 N Bosworth Ave,Chicago,IL,60626-4223,42.00279191,-87.66926685,FQHC
Community Health Partnership of Illinois,62 N Ayer St Ste A,Harvard,IL,60033-2871,42.42139363,-88.61439114,FQHC
SIU Center for Family Medicine-Sangamon County Health,2833 South Grand Ave E Ste 100,Springfield,IL,62703-2175,39.78886,-89.612421,FQHC
SIU Center for Family Medicine-Adams County Dental Clinic,330 Vermont St Ste 100,Quincy,IL,62301-2700,39.93409399,-91.41025701,FQHC
"Shawnee Health Care, Carbondale Dental",402 S Lewis Ln,Carbondale,IL,62901-3547,37.72338677,-89.19941732,FQHC
Rea Clinic - Benton,206 E Church St Ste B,Benton,IL,62812-2239,37.995748,-88.91947177,FQHC
LCHC at Bobby E. Wright,9 S Kedzie Ave,Chicago,IL,60612-2705,41.88070237,-87.70607514,FQHC
St. John's Dental Clinic,700 N 7th St,Springfield,IL,62702-6352,39.80870198,-89.64582699,FQHC
Rosecrance Ware Center,2704 N Main St,Rockford,IL,61103-3112,42.30194099,-89.07714755,FQHC
Preferred Family Healthcare,428 S 36th St,Quincy,IL,62301-5924,39.92634115,-91.35846397,FQHC
Crusader Clinic on West State Street,1200 W State St,Rockford,IL,61102-2112,42.27573329,-89.10811583,FQHC
Champaign Urbana Public Health District Mobile Clinic Unit W Kenyon,201 W Kenyon Rd,Champaign,IL,61820-7892,40.13439612,-88.24658728,FQHC
Howard Brown Health Center-Clark,6500 N Clark St,Chicago,IL,60626-4097,42.00005023,-87.6712791,FQHC
BELLEVILLE PED & ADOL HEALTH CTR,2900 Frank Scott Pkwy W Ste 950,Belleville,IL,62223-5010,38.53809301,-90.03539103,FQHC
LCHC Health & Fitness - 3750,3750 W Ogden Ave,Chicago,IL,60623-2426,41.85330408,-87.71908055,FQHC
"Shawnee Health Care, Same Day",404 S Lewis Ln,Carbondale,IL,62901-3547,37.72336888,-89.19941752,FQHC
Erie Humboldt Park Health Center,2750 W North Ave,Chicago,IL,60647-5247,41.91024296,-87.69671809,FQHC
Zion Health Center,1911 27th St,Zion,IL,60099-2542,42.44570199,-87.83810763,FQHC
Will County Community Health Center - East,5601 W Monee Manhattan Rd Ste 109,Monee,IL,60449-8864,41.42699251,-87.749195,FQHC
Cedar Court Clinic,1340 Cedar Ct,Carbondale,IL,62901-5336,37.74046113,-89.25348536,FQHC
Terrier Care,1301 E Walnut St Rm J120,Carbondale,IL,62901-5004,37.72678758,-89.18958234,FQHC
Anne M Jeans Elementary School,16W631 91st St Ste 113,Willowbrook,IL,60527-6126,41.72311781,-87.94940464,FQHC
Streamwood Community Health Center,135 E Irving Park Rd,Streamwood,IL,60107-2950,42.01271445,-88.17872253,FQHC
Carbondale Middle School Health Center,1150 E Grand Ave Rm 127,Carbondale,IL,62901-3422,37.71774598,-89.19651326,FQHC
Marion Wellness,1700 Wildcat Dr Ste A,Marion,IL,62959-1513,37.71491247,-88.94480752,FQHC
VNA Health Center - Joliet,2400 Glenwood Ave Ste 210,Joliet,IL,60435-5498,41.52941781,-88.14171291,FQHC
Heartland Community Health Clinic  DBA: Heartland Health Services - East Bluff,2321 N Wisconsin Ave,Peoria,IL,61603-5613,40.71601789,-89.58425035,FQHC
Bunker Hill Health Center,144 N Washington St,Bunker Hill,IL,62014-1048,39.04332463,-89.95160689,FQHC
SIU Center for Family Medicine-Lincoln,109 3rd St,Lincoln,IL,62656-2604,40.14516251,-89.36903803,FQHC
Heartland Health Center - Uplift Community High School,900 W Wilson Ave,Chicago,IL,60640-5707,41.96554708,-87.65247701,FQHC
Aunt Martha's Chicago Heights Pediatric Health and Wellness Center,500 Dixie Hwy,Chicago Heights,IL,60411-1741,41.52232005,-87.65134552,FQHC
SIHF Healthcare - Arthur,1710 IL-133,Arthur,IL,61911-6016,39.71009748,-88.48941009,FQHC
Esperanza Marquette,6550 S Richmond St,Chicago,IL,60629-2821,41.77423246,-87.69693878,FQHC
Chestnut Family Health Center,720 W Chestnut St,Bloomington,IL,61701-2814,40.48544276,-89.00158796,FQHC
Hazel Crest Women's Health Center,17850 Kedzie Ave Ste 3200,Hazel Crest,IL,60429-2086,41.56540698,-87.69677601,FQHC
PCC Austin Family Health Center,5425 W Lake St,Chicago,IL,60644-2342,41.88727248,-87.76152202,FQHC
BEDS Plus,9601 E Ogden Ave,La Grange,IL,60525-3137,41.81730776,-87.86002093,FQHC
TCA Health- Chatham,8425 S Cottage Grove Ave,Chicago,IL,60619-6113,41.74134757,-87.60493591,FQHC
VNA Health Center - Aurora Indian,1400 Indian Ave,Aurora,IL,60505-3137,41.76631514,-88.28152147,FQHC
CHRISTIAN COMMUNITY HEALTH CTR,901 E Sibley Blvd,South Holland,IL,60473-1166,41.62254252,-87.59511702,FQHC
Heartland Health Center - Roosevelt High School,3436 W Wilson Ave,Chicago,IL,60625-5318,41.96480521,-87.71516255,FQHC
ACCESS Rogers Park Family Health Center,1555 W Howard St,Chicago,IL,60626-1707,42.01933129,-87.67036128,FQHC
HEARTLAND HEALTH CENTER - SENN HIGH SCHOOL,5900 N Glenwood Ave,Chicago,IL,60660-3312,41.98910825,-87.66515612,FQHC
"Shawnee Health Care, Murphysboro",7 S Hospital Dr,Murphysboro,IL,62966-3333,37.77308047,-89.32466712,FQHC
Temporary Site- Curb-Side Care,PO BOX 81,Oquawka,IL,61469-0081,40.93717998,-90.94895,FQHC
"Shawnee Health Care, Marion",3111 Williamson County Pkwy,Marion,IL,62959-5235,37.75125278,-88.98006533,FQHC
SIU Quincy/Adams County Health Wellness Express,330 Vermont St Ste 211,Quincy,IL,62301-2700,39.93409399,-91.41025701,FQHC
McKinley Health Center,2166 Madison Ave,Granite City,IL,62040-4700,38.70233648,-90.14306177,FQHC
PrimeCare Wicker Park,1127 N Oakley Blvd,Chicago,IL,60622-3507,41.90201677,-87.68448849,FQHC
UNIVERSITY OF ILLINOIS MEDICAL CENTER - MILE SQUARE HEALTH CENTER AT BACK OF THE YARDS,4630 S Bishop St,Chicago,IL,60609-3240,41.80951055,-87.66135534,FQHC
Heartland Health Center-Thresholds,4423 N Ravenswood Ave,Chicago,IL,60640-5802,41.96238259,-87.67400279,FQHC
PCC Community Wellness Center at West Suburban,1 Erie Ct Ste 7120,Oak Park,IL,60302-2510,41.89178253,-87.77551804,FQHC
HARRISBURG COMMUNITY HTLH CENTER,205 N Main St,Harrisburg,IL,62946-1256,37.73977001,-88.54034722,FQHC
WILL COUNTY COMMUNITY HEALTH CENTER,1106 Neal Ave,Joliet,IL,60433-2548,41.50381483,-88.06879211,FQHC
Family Christian Health Center,713 E 142nd St,Dolton,IL,60419-1062,41.6371391,-87.6020688,FQHC
Heartland Health Center - Devon,1300 W Devon Ave,Chicago,IL,60660-1302,41.99816749,-87.66329701,FQHC
Capitol Community Health Center,2239 E Cook St,Springfield,IL,62703-1944,39.79470751,-89.62245095,FQHC
Randall Health Center,1435 N Randall Rd Ste 408,Elgin,IL,60123-2305,42.07042,-88.33173199,FQHC
Goreville Clinic,400 S Broadway,Goreville,IL,62939-2484,37.55168654,-88.97210053,FQHC
WEST SUBURBAN MEDICAL CENTER,3 Erie Ct,Oak Park,IL,60302-2519,41.89150414,-87.77623475,FQHC
PrimeCare Belmont Cragin,5635 W Belmont Ave,Chicago,IL,60634-4384,41.93852078,-87.76791951,FQHC
Cairo Diagnostic Center Site,13289 Kessler Rd,Cairo,IL,62914-3101,37.0407395,-89.19810211,FQHC
Chicago Heights Community Health Center,1536 Vincennes Ave,Chicago Heights,IL,60411-3458,41.50290847,-87.63814215,FQHC
Temporary Site - TCA Health - Worth Executive Building,7000 W 111th St Ste 100,Worth,IL,60482-1851,41.69012182,-87.79273136,FQHC
Cass County Health Department - Cass County Health Clinic,331 S Main St,Virginia,IL,62691-1571,39.94764896,-90.21240502,FQHC
Wood River Covid-19 Testing Site,230 N Old Saint Louis Rd,Wood River,IL,62095-1437,38.86536714,-90.10351118,FQHC
Quincy Senior and Family Resource Center,639 York St,Quincy,IL,62301-3963,39.92937976,-91.40515913,FQHC
CHC/SEIA HAMILTON CLINIC,951 Broadway St,Hamilton,IL,62341-1436,40.39318017,-91.34603271,FQHC
Temporary Site - Constance Morris House,NA,La Grange,IL,NA,41.81399,-87.86958999,FQHC
Temporary Site - Burr Ridge Middle School,15W458 91st St,Willowbrook,IL,60527,41.72368976,-87.92628635,FQHC
Beloved Community Family Wellness Center Halsted Dental Site Suite 1A,6853 S Halsted St Ste 1A,Chicago,IL,60621-1867,41.76909402,-87.64410203,FQHC
Clay Medical Center,165 Kinnaman Dr,Flora,IL,62839-4204,38.66626999,-88.51648004,FQHC
HEARTLAND ALLIANCE HEALTH - ENGLEWOOD,5501 S Halsted St,Chicago,IL,60621-2229,41.79380185,-87.64512739,FQHC
ACCESS Family Health Society,152 W Lincoln Hwy,Chicago Heights,IL,60411-2619,41.50603251,-87.64711197,FQHC
Central Collinsville Health Center,1215 Vandalia St,Collinsville,IL,62234-4060,38.68381106,-89.97664588,FQHC
PCC SALUD FAMILY HEALTH CENTER,5359 W Fullerton Ave,Chicago,IL,60639-1450,41.92403781,-87.76086991,FQHC
"Community Health Care, Inc. - The Project",1701 River Dr Ste 110,Moline,IL,61265-1384,41.50942634,-90.51419032,FQHC
Aunt Martha's Aurora Community Health Center,2124 Ogden Ave Ste 201,Aurora,IL,60504-7542,41.73132441,-88.26323684,FQHC
"TCA Health, Inc.",1029 E 130th St,Chicago,IL,60628-6908,41.65907245,-87.60261574,FQHC
UI Health Mile Square Health Center L.P. Johnson Rockford,1221 E State St,Rockford,IL,61104-2231,42.2668872,-89.07635806,FQHC
East St. Louis School Based Clinic,4901 State St,East Saint Louis,IL,62205-1356,38.60697071,-90.10222246,FQHC
Children’s Medical Center,2810 Frank Scott Pkwy W Ste 828,Belleville,IL,62223-5007,38.53814636,-90.03689223,FQHC
Centreville Health Center,6000 Bond Ave,Centreville,IL,62207-2328,38.57025093,-90.10648977,FQHC
Metropolis Medical Clinic,1003 E 5th St,Metropolis,IL,62960-2311,37.14550723,-88.71924532,FQHC
James and Catherine Denny Primary Care and Preventative Medicine Center,30 W Chicago Ave,Chicago,IL,60654-3231,41.89670082,-87.62951526,FQHC
Stickney Township Public Health District - South Clinic,5635 State Rd,Burbank,IL,60459-2051,41.74554736,-87.76248443,FQHC
Crossing Healthcare at Oasis Drop In Center,243 W Cerro Gordo St,Decatur,IL,62522-2101,39.84680672,-88.9581168,FQHC
Erie Foster Avenue Health Center,5215 N California Ave Ste F700,Chicago,IL,60625-8562,41.97628263,-87.69889319,FQHC
Erie Clemente Wildcats Student Health Center,1147 N Western Ave,Chicago,IL,60622-2931,41.90248098,-87.68697253,FQHC
Howard Brown Health Diversey,2800 N Sheridan Rd Ste 211,Chicago,IL,60657-6161,41.93293873,-87.63935576,FQHC
Lake Health Center,1515 E Lake St Ste 202,Hanover Park,IL,60133-7152,41.98429628,-88.14299383,FQHC
Challand Middle School,1700 6th Ave Rm med1,Sterling,IL,61081-1379,41.80381731,-89.68892258,FQHC
LCHC at Farragut Academy,3256 W 24th St,Chicago,IL,60623-3407,41.84821134,-87.70688203,FQHC
"UNIVERSITY OF ILLINOIS MEDICAL CENTER, MILE SQUARE HEALTH CENTER, CICERO",4747 W Cermak Rd,Cicero,IL,60804-2508,41.85116961,-87.74266128,FQHC
"Community Health Care, Inc. Moline",1106 4th Ave,Moline,IL,61265-1231,41.50537252,-90.52198876,FQHC
VNA Mobile Health Services,400 N Highland Ave,Aurora,IL,60506-3814,41.76597398,-88.32909748,FQHC
PCC Dr. Tong Health Center,1 Erie Ct Ste 6040,Oak Park,IL,60302-2510,41.89118499,-87.77551804,FQHC
Red Bud Health Center,824 Locust St,Red Bud,IL,62278-1209,38.20385275,-89.99535264,FQHC
Promise Healthcare at the USBHC,1002 S Race St,Urbana,IL,61801-4957,40.10443996,-88.20960406,FQHC
MOBILE HEALTH VAN,9718 S Halsted St,Chicago,IL,60628-1007,41.7169831,-87.64318799,FQHC
"CHICAGO FAMILY HEALTH CENTER, INC.",9119 S Exchange Ave,Chicago,IL,60617-4225,41.72948529,-87.5525401,FQHC
LCHC at Pacific Garden Mission,1458 S Canal St Fl 1,Chicago,IL,60607-5201,41.86201931,-87.63912687,FQHC
ACCESS Servicios Médicos La Villita,3303 W 26th St,Chicago,IL,60623-4036,41.84442016,-87.7076974,FQHC
Crossing Healthcare Schrodt Community Health Center,320 E Central Ave,Decatur,IL,62521-4665,39.84913745,-88.95284066,FQHC
Southwestern School District #9,8226 Route 111,Piasa,IL,62079-2051,39.11814847,-90.14178265,FQHC
Eagle View Community Health System - Oquawka Location,1204 Highway 164 E,Oquawka,IL,61469-3204,40.92547282,-90.87336139,FQHC
HARDIN COUNTY DENTAL CLINIC,Main St,Rosiclare,IL,62982,37.42924358,-88.3462591,FQHC
